SKU,INVENTARIO
10-E010-14-EH,1
10-E010-60-EH,22
10-E010-Z5-EH,0
10-E011-60-EH,5
10-E011-Z5-EH,5
10-E015-60-EH,0
10-E016-Z5-CL,0
10-E032-J6-CK,0
10-E053-DC-CL,10
10-E144-Z5-CL,0
15-0003-BW-M1,0
15-0073-DL-DL,2
15-0073-J6-J6,0
15-0590-S2-M1,1
15-0651-50-87,0
15-1522-21-E9,401
15-1959-BW-M1,17
15-2939-S2-M1,0
15-4797-N3-OS,3
15-4924-BY-M1,0
15-5096-S2-M1,1
15-5264-14-00,3
15-5264-DL-00,2
15-5267-14-00,18
15-5267-60-00,1
15-5268-60-00,4
15-5268-Z5-00,1
15-5269-60-00,2
15-5270-14-00,6
15-5271-14-00,40
15-5271-60-00,14
15-5278-BW-BW,1
15-5469-N3-OS,0
15-5492-F5-F5,0
15-5493-34-34,0
15-5493-F5-F5,1
15-5494-BW-BW,6
15-5672-60-00,0
15-5673-60-00,5
15-5673-Z5-00,8
15-5675-14-00,2
15-5706-14-OS,2
15-5706-14-OU,1
15-5706-N3-OS,9
15-5714-14-OS,1
15-5715-14-OS,0
15-5715-14-OU,2
15-5716-14-DS,0
15-5716-14-OS,1
15-5922-14-OU,21
15-5922-60-OU,1
15-5922-60-RU,1
15-5922-DL-OU,11
15-5923-14-RU,1
15-5923-60-OU,0
15-5923-60-RU,1
15-5923-Z5-OU,1
15-5924-14-DS,2
15-5924-14-OU,7
15-5924-DL-OU,0
15-5926-14-RU,0
15-5927-14-OU,1
15-5928-60-OU,1
15-5929-60-OU,1
15-5948-14-00,2
15-6149-14-DS,0
15-6150-14-OS,0
15-6151-14-DS,4
15-6152-N3-DS,1
15-6281-14-MS,4
15-6429-21-F9,0
15-6482-60-MS,1
15-6482-81-MS,7
15-6484-14-MS,1
15-6484-60-MS,1
15-6487-81-MS,4
15-7305-14-00,13
15-7306-14-00,0
15-7307-14-00,19
15-7307-60-00,1
15-7308-14-00,37
15-7309-14-00,2
15-7310-60-00,2
15-7408-14-00,24
15-7408-60-00,3
15-7408-N3-00,22
15-7434-14-00,21
15-7434-60-00,8
15-7434-N3-00,330
15-7434-Z5-00,2
15-7494-14-00,28
15-7494-60-00,1
15-7494-N3-00,23
15-7597-14-DO,7
15-7597-60-DO,1
15-7806-14-DS,5
15-7807-14-DS,1
15-7811-14-TW,1
15-7842-14-TW,1
15-7842-60-TW,1
15-7843-14-TW,1
15-8035-14-MS,103
15-8331-05-14,0
15-8513-DN-DN,25
15-9298-14-M1,0
15-9298-J6-M1,1
15-9328-Z5-B8,0
15-9480-14-37,1
15-9480-34-37,3
15-9493-14-M1,0
15-9493-34-CM,1
15-9493-34-M1,3
15-9665-CA-CM,0
15-9708-CA-37,0
15-9778-34-CL,146
15-9790-34-CL,164
15-9790-Z5-CM,0
15-9806-34-CL,0
15-9810-05-CM,1
15-9835-34-CM,1
15-9839-05-CL,1
15-9900-34-CM,134
15-9901-34-CM,0
15-9904-14-CL,1289
15-9904-14-CM,5
15-9904-60-CM,97
15-9904-Z5-CL,0
15-9904-Z5-CM,0
